Año,Trimestre,Provincia,Accesos por cada 100 hogares
2020,2,Capital Federal,106.4148059907365
2020,2,Catamarca,45.43181818181818
2020,2,Chaco,39.83250279006581
2020,2,Chubut,57.34461338723553
2020,2,Córdoba,72.71358531242393
2020,2,Corrientes,40.30476267979574
2020,2,Entre Ríos,56.53865473970961
2020,2,Formosa,31.1394362262631
2020,2,Jujuy,47.88781022787278
2020,2,La Pampa,76.10158288987562
2020,2,La Rioja,49.83993501839552
2020,2,Mendoza,36.25224342110005
2020,2,Misiones,40.88779600969606
2020,2,Neuquén,63.89846903376431
2020,2,Río Negro,56.36933524879196
2020,2,Salta,51.58158335340357
2020,2,San Juan,35.09485776365026
2020,2,San Luis,78.4096773527651
2020,2,Santa Cruz,35.79262396979603
2020,2,Santa Fe,70.002168637187
2020,2,Santiago Del Estero,43.46716682468362
2020,2,Tierra Del Fuego,76.36948260742473
2020,2,Tucumán,51.78074091030483
2020,1,Buenos Aires,64.32563101743429
2020,1,Capital Federal,105.9801741418191
2020,1,Catamarca,37.61542768746025
2020,1,Chaco,37.48383336917261
2020,1,Chubut,51.26848941909703
2020,1,Córdoba,70.6880744339108
2020,1,Corrientes,38.7290799422309
2020,1,Entre Ríos,56.12006051437216
2020,1,Formosa,30.22830396260685
2020,1,Jujuy,46.67023063998779
2020,1,La Pampa,75.76678781291396
2020,1,La Rioja,46.34663138416698
2020,1,Mendoza,33.14207670017271
2020,1,Misiones,39.01834755171205
2020,1,Neuquén,61.84749362355069
2020,1,Río Negro,55.11566865962362
2020,1,Salta,49.59568027012866
2020,1,San Juan,32.39229213630473
2020,1,San Luis,76.30854184641933
2020,1,Santa Cruz,35.97427628896549
2020,1,Santa Fe,69.52357940253133
2020,1,Santiago Del Estero,42.46635918799181
2020,1,Tierra Del Fuego,76.06964979018785
2020,1,Tucumán,47.84792325850032
2019,4,Buenos Aires,64.25205288245421
2019,4,Capital Federal,106.2454675104105
2019,4,Catamarca,36.43842912715547
2019,4,Chaco,36.83547863034241
2019,4,Chubut,51.14501785514712
2019,4,Córdoba,70.48295566244217
2019,4,Corrientes,38.76744098926211
2019,4,Entre Ríos,57.99221691704514
2019,4,Formosa,30.47131348054405
2019,4,Jujuy,45.37754633175065
2019,4,La Pampa,76.92418969170417
2019,4,La Rioja,47.13589011052434
2019,4,Mendoza,33.64903072027183
2019,4,Misiones,39.78923684048622
2019,4,Neuquén,59.35590092822445
2019,4,Río Negro,55.70500968287489
2019,4,Salta,50.35463892238824
2019,4,San Juan,32.85497572815534
2019,4,San Luis,74.92002603481464
2019,4,Santa Cruz,36.71136308535834
2019,4,Santa Fe,69.48235725596862
2019,4,Santiago Del Estero,42.92077382358182
2019,4,Tierra Del Fuego,79.69536136377089
2019,4,Tucumán,47.64902012521289
2019,3,Buenos Aires,69.35630106079125
2019,3,Capital Federal,112.6453878037209
2019,3,Catamarca,30.8836145267372
2019,3,Chaco,35.8460309754608
2019,3,Chubut,47.56624162293312
2019,3,Córdoba,68.59234901069021
2019,3,Corrientes,38.48535113586719
2019,3,Entre Ríos,57.90009945796624
2019,3,Formosa,30.11243299777749
2019,3,Jujuy,44.32248684291361
2019,3,La Pampa,77.45269423291748
2019,3,La Rioja,47.94290512174643
2019,3,Mendoza,40.73714258735342
2019,3,Misiones,39.33292986744382
2019,3,Neuquén,64.13887269491578
2019,3,Río Negro,63.42470088700958
2019,3,Salta,44.47617792228716
2019,3,San Juan,37.06231303554226
2019,3,San Luis,85.22608876849344
2019,3,Santa Cruz,35.62816097885956
2019,3,Santa Fe,68.87178057593026
2019,3,Santiago Del Estero,55.30391146854541
2019,3,Tierra Del Fuego,96.46210963092378
2019,3,Tucumán,39.48760020401681
2019,2,Buenos Aires,67.84713982374198
2019,2,Capital Federal,110.5455669948523
2019,2,Catamarca,32.13095022019278
2019,2,Chaco,34.14026097986763
2019,2,Chubut,46.98798413626923
2019,2,Córdoba,68.07130938789848
2019,2,Corrientes,38.15558588418795
2019,2,Entre Ríos,57.47823458872391
2019,2,Formosa,30.41823600694331
2019,2,Jujuy,44.51192279062604
2019,2,La Pampa,77.08313750288404
2019,2,La Rioja,48.70493914424316
2019,2,Mendoza,40.75462423536266
2019,2,Misiones,39.14612554169944
2019,2,Neuquén,63.08096432767439
2019,2,Río Negro,61.0942074999118
2019,2,Salta,41.89319832036978
2019,2,San Juan,35.59971733748176
2019,2,San Luis,81.789994425864
2019,2,Santa Cruz,28.84606305532212
