Año,Trimestre,Provincia,Mbps (Media de bajada),Rango Velocidad
2020,1,La Rioja,7.962418947150687,0-10 Mbps
2020,1,Mendoza,8.440867710216997,0-10 Mbps
2020,1,Misiones,22.14821306843626,10-50 Mbps
2020,1,Neuquén,27.76828207897622,10-50 Mbps
2020,1,Río Negro,19.06030056406124,10-50 Mbps
2020,1,Salta,21.42504724390274,10-50 Mbps
2020,1,San Juan,6.036984591484099,0-10 Mbps
2020,1,San Luis,20.98937974428266,10-50 Mbps
2020,1,Santa Cruz,6.417170627364028,0-10 Mbps
2020,1,Santa Fe,22.42405677003625,10-50 Mbps
2020,1,Santiago Del Estero,10.00053908049476,10-50 Mbps
2020,1,Tierra Del Fuego,7.410865837696335,0-10 Mbps
2020,1,Tucumán,32.24553094303289,10-50 Mbps
2019,4,Buenos Aires,30.76969414100586,10-50 Mbps
2019,4,Capital Federal,44.20317867008588,10-50 Mbps
2019,4,Catamarca,24.87830767046261,10-50 Mbps
2019,4,Chaco,23.37495080016229,10-50 Mbps
2019,4,Chubut,6.994113523445059,0-10 Mbps
2019,4,Córdoba,26.16228061451293,10-50 Mbps
2019,4,Corrientes,19.25541160797141,10-50 Mbps
2019,4,Entre Ríos,17.00758089765712,10-50 Mbps
2019,4,Formosa,14.52562955151933,10-50 Mbps
2019,4,Jujuy,12.95920004280421,10-50 Mbps
2019,4,La Pampa,6.526152195693043,0-10 Mbps
2019,4,La Rioja,8.000880364029628,0-10 Mbps
2019,4,Mendoza,7.785200889987086,0-10 Mbps
2019,4,Misiones,20.32034743574273,10-50 Mbps
2019,4,Neuquén,26.01988431478295,10-50 Mbps
2019,4,Río Negro,17.17699897385603,10-50 Mbps
2019,4,Salta,19.08357302283381,10-50 Mbps
2019,4,San Juan,6.040171698468491,0-10 Mbps
2019,4,San Luis,20.69035342214312,10-50 Mbps
2019,4,Santa Cruz,5.207925064069708,0-10 Mbps
2019,4,Santa Fe,20.54719701980728,10-50 Mbps
2019,4,Santiago Del Estero,9.792201844355846,0-10 Mbps
2019,4,Tierra Del Fuego,7.27,0-10 Mbps
2019,4,Tucumán,29.87038932431276,10-50 Mbps
2019,3,Buenos Aires,25.67938014383407,10-50 Mbps
2019,3,Capital Federal,38.71410056071139,10-50 Mbps
2019,3,Catamarca,9.293407429459826,0-10 Mbps
2019,3,Chaco,19.9946681226854,10-50 Mbps
2019,3,Chubut,6.966323588474291,0-10 Mbps
2019,3,Córdoba,23.19340236493985,10-50 Mbps
2019,3,Corrientes,16.69992255090861,10-50 Mbps
2019,3,Entre Ríos,14.69513286650061,10-50 Mbps
2019,3,Formosa,13.22353748406198,10-50 Mbps
2019,3,Jujuy,11.96824092992435,10-50 Mbps
2019,3,La Pampa,5.719666464891041,0-10 Mbps
2019,3,La Rioja,8.002375296912113,0-10 Mbps
2019,3,Mendoza,6.10822854552147,0-10 Mbps
2019,3,Misiones,17.93152246137283,10-50 Mbps
2019,3,Neuquén,23.74841515996666,10-50 Mbps
2019,3,Río Negro,15.98371850399924,10-50 Mbps
2019,3,Salta,14.74646524445552,10-50 Mbps
2019,3,San Juan,6.038229508650902,0-10 Mbps
2019,3,San Luis,19.74382698234961,10-50 Mbps
2019,3,Santa Cruz,5.017746940956451,0-10 Mbps
2019,3,Santa Fe,18.16552968668788,10-50 Mbps
2019,3,Santiago Del Estero,9.389413131426359,0-10 Mbps
2019,3,Tierra Del Fuego,6.690701380143412,0-10 Mbps
2019,3,Tucumán,19.32399479458052,10-50 Mbps
2019,2,Buenos Aires,22.4800460185574,10-50 Mbps
2019,2,Capital Federal,30.34625985709199,10-50 Mbps
2019,2,Catamarca,8.81,0-10 Mbps
2019,2,Chaco,16.01024333099657,10-50 Mbps
2019,2,Chubut,6.054406893543786,0-10 Mbps
2019,2,Córdoba,18.43151783191278,10-50 Mbps
2019,2,Corrientes,13.83303508381618,10-50 Mbps
2019,2,Entre Ríos,12.19335781795057,10-50 Mbps
2019,2,Formosa,10.83661121948083,10-50 Mbps
2019,2,Jujuy,12.07338228050733,10-50 Mbps
2019,2,La Pampa,5.492288321417966,0-10 Mbps
2019,2,La Rioja,7.894163486005089,0-10 Mbps
2019,2,Mendoza,6.02629690452623,0-10 Mbps
2019,2,Misiones,14.50130254739236,10-50 Mbps
2019,2,Neuquén,17.24286525019598,10-50 Mbps
2019,2,Río Negro,11.62805020431991,10-50 Mbps
2019,2,Salta,12.54874875060156,10-50 Mbps
2019,2,San Juan,6.118522013069041,0-10 Mbps
2019,2,San Luis,19.87597284839936,10-50 Mbps
2019,2,Santa Cruz,6.008047317560813,0-10 Mbps
2019,2,Santa Fe,15.07454905889028,10-50 Mbps
2019,2,Santiago Del Estero,7.103112882966522,0-10 Mbps
2019,2,Tierra Del Fuego,6.34,0-10 Mbps
2019,2,Tucumán,18.52931788592034,10-50 Mbps
2019,1,Buenos Aires,19.64395822423051,10-50 Mbps
2019,1,Capital Federal,24.71506329384977,10-50 Mbps
2019,1,Catamarca,7.964005155271879,0-10 Mbps
2019,1,Chaco,13.44423626907794,10-50 Mbps
2019,1,Chubut,5.891730569196159,0-10 Mbps
2019,1,Córdoba,15.73486422864591,10-50 Mbps
2019,1,Corrientes,12.04969555081203,10-50 Mbps
2019,1,Entre Ríos,10.65919732895398,10-50 Mbps
2019,1,Formosa,9.825089957835713,0-10 Mbps
2019,1,Jujuy,8.560464217465055,0-10 Mbps
2019,1,La Pampa,5.057861842867403,0-10 Mbps
2019,1,La Rioja,7.092792286992043,0-10 Mbps
2019,1,Mendoza,5.742764175317399,0-10 Mbps
2019,1,Misiones,12.5127734596835,10-50 Mbps
2019,1,Neuquén,15.88465326391522,10-50 Mbps
2019,1,Río Negro,10.48842064813629,10-50 Mbps
2019,1,Salta,10.37710001396946,10-50 Mbps
2019,1,San Juan,5.839263189429536,0-10 Mbps
2019,1,San Luis,8.708555188754593,0-10 Mbps
2019,1,Santa Cruz,5.779992970397563,0-10 Mbps
2019,1,Santa Fe,12.986963477266,10-50 Mbps
2019,1,Santiago Del Estero,6.415070737969083,0-10 Mbps
2019,1,Tierra Del Fuego,6.341101450612301,0-10 Mbps
2019,1,Tucumán,16.57329996457957,10-50 Mbps
2018,4,Buenos Aires,16.93436301015006,10-50 Mbps
2018,4,Capital Federal,22.93530199223472,10-50 Mbps
2018,4,Catamarca,8.043920202659912,0-10 Mbps
2018,4,Chaco,13.49208357021035,10-50 Mbps
2018,4,Chubut,6.085223903684034,0-10 Mbps
2018,4,Córdoba,15.81366743362978,10-50 Mbps
2018,4,Corrientes,12.13892339338772,10-50 Mbps
2018,4,Entre Ríos,11.02328249037696,10-50 Mbps
2018,4,Formosa,9.816893711913803,0-10 Mbps
2018,4,Jujuy,8.562737601752614,0-10 Mbps
2018,4,La Pampa,4.319094957943483,0-10 Mbps
2018,4,La Rioja,7.093382125154895,0-10 Mbps
2018,4,Mendoza,5.746675102434321,0-10 Mbps
2018,4,Misiones,12.49511267415579,10-50 Mbps
2018,4,Neuquén,15.89123364607043,10-50 Mbps
